Episode,Agent1_Epsilon,Agent2_Epsilon,Agent1_Avg_Loss,Agent2_Avg_Loss,Agent1_Avg_Reward,Agent2_Avg_Reward,Agent1_Win_Rate,Agent2_Win_Rate
1,0.9995,0.9995,0.0,0.0,972.800000667572,805.4666614532471,0.0,0.0
2,0.9990002500000001,0.9990002500000001,0.0,0.0,1062.4000053405762,1215.766676902771,0.0,0.0
3,0.9985007498750001,0.9985007498750001,0.0,0.0,305.25,360.9833354949951,0.0,1.0
4,0.9980014995000627,0.9980014995000627,141.21155166625977,80.75155639648438,215.86666631698608,250.86666679382324,0.0,1.0
5,0.9975024987503127,0.9975024987503127,254.4563694000244,920.1717910766602,680.5833339691162,849.6166753768921,1.0,0.0
6,0.9970037475009376,0.9970037475009376,875.3039827346802,961.9305057525635,805.3499917984009,1085.6833333969116,0.0,0.0
