Episode,Agent1_Epsilon,Agent2_Epsilon,Agent1_Avg_Loss,Agent2_Avg_Loss,Agent1_Avg_Reward,Agent2_Avg_Reward,Agent1_Win_Rate,Agent2_Win_Rate
1,0.9995,0.9995,0.0,0.0,549.8166694641113,562.5499973297119,1.0,0.0
2,0.9990002500000001,0.9990002500000001,0.0,0.0,1034.8833208084106,986.8000001907349,0.0,0.0
3,0.9985007498750001,0.9985007498750001,39.514678955078125,175.67308616638184,967.6833257675171,1122.4333281517029,0.0,0.0
4,0.9980014995000627,0.9980014995000627,176.12945556640625,98.08435249328613,345.8333320617676,378.6166687011719,1.0,0.0
5,0.9975024987503127,0.9975024987503127,937.917272567749,711.8016929626465,778.0499951839447,780.2833261489868,0.0,1.0
6,0.9970037475009376,0.9970037475009376,697.93044090271,966.6212205886841,1117.2666597366333,1168.6333312988281,1.0,0.0
